====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
4158. Jaap Stam #6                        | LB  | 2014 | SPD:90 DRB:72 SHO:45 DEF:98 PHY:93 IQ:78 | AC Milan
4159. Marcus Tutte #6                     | CAM | 2022 | SPD:85 DRB:83 SHO:81 DEF:73 PHY:86 IQ:80 | Liverpool
4160. Adriano #6                          | CDM | 2010 | SPD:86 DRB:79 SHO:85 DEF:82 PHY:79 IQ:93 | Barcelona
4161. Wilfried Bony #6                    | LB  | 2010 | SPD:86 DRB:72 SHO:51 DEF:90 PHY:97 IQ:85 | Chelsea
4162. Mark Lawrenson #6                   | RB  | 2018 | SPD:82 DRB:71 SHO:62 DEF:91 PHY:90 IQ:92 | Liverpool
4163. Ulreich Sven #6                     | CM  | 2022 | SPD:87 DRB:83 SHO:88 DEF:69 PHY:96 IQ:95 | Liverpool
4164. Hany Ramadan #6                     | CAM | 2014 | SPD:90 DRB:77 SHO:76 DEF:79 PHY:97 IQ:97 | Inter Milan
4165. Marta #6                            | LW  | 2014 | SPD:94 DRB:80 SHO:90 DEF:40 PHY:82 IQ:97 | Barcelona
4166. Oguchi Onyewu #6                    | CDM | 2006 | SPD:87 DRB:80 SHO:78 DEF:84 PHY:96 IQ:92 | Barcelona
4167. Florian Thauvin #6                  | CAM | 2022 | SPD:93 DRB:72 SHO:78 DEF:70 PHY:95 IQ:81 | Inter Milan
4168. Ousmane Dembélé #6                  | LB  | 2022 | SPD:82 DRB:79 SHO:47 DEF:98 PHY:92 IQ:80 | Liverpool
4169. Daniele De Rossi #6                 | LW  | 2014 | SPD:85 DRB:80 SHO:83 DEF:52 PHY:82 IQ:91 | Liverpool
4170. Hulk #6                             | CM  | 2018 | SPD:80 DRB:84 SHO:85 DEF:84 PHY:86 IQ:98 | Paris SG
4171. Rivaldo #6                          | CB  | 2010 | SPD:80 DRB:62 SHO:62 DEF:97 PHY:80 IQ:91 | Chelsea
4172. Mario Gomez #6                      | LW  | 2022 | SPD:93 DRB:93 SHO:97 DEF:52 PHY:92 IQ:88 | Liverpool
4173. Gonzalo Higuaín #6                  | CB  | 2010 | SPD:80 DRB:75 SHO:68 DEF:98 PHY:86 IQ:86 | Chelsea
4174. Alfredo Di Stéfano #6               | CAM | 2010 | SPD:84 DRB:88 SHO:67 DEF:76 PHY:75 IQ:89 | Real Madrid
4175. Sadio Mane #6                       | CM  | 2018 | SPD:83 DRB:80 SHO:71 DEF:77 PHY:87 IQ:81 | Bayern Munich
4176. Martin Benitez #6                   | LB  | 2014 | SPD:84 DRB:75 SHO:45 DEF:85 PHY:86 IQ:86 | Real Madrid
4177. Rúben Dias #6                       | RB  | 2010 | SPD:76 DRB:76 SHO:56 DEF:88 PHY:86 IQ:82 | Manchester United
4178. Mark Hughes #6                      | CB  | 2022 | SPD:89 DRB:64 SHO:49 DEF:99 PHY:81 IQ:86 | Liverpool
4179. Hernandez Hugo #6                   | LB  | 2010 | SPD:80 DRB:63 SHO:52 DEF:90 PHY:93 IQ:93 | Arsenal
4180. Florian Neuhaus #6                  | RB  | 2006 | SPD:77 DRB:72 SHO:55 DEF:99 PHY:85 IQ:87 | Paris SG
4181. Gigi Donnarumma #6                  | ST  | 2014 | SPD:94 DRB:82 SHO:96 DEF:59 PHY:90 IQ:83 | Juventus
4182. Aymeric Laporte #6                  | LB  | 2018 | SPD:85 DRB:67 SHO:62 DEF:96 PHY:93 IQ:82 | Real Madrid
4183. Mauro Camoranesi #6                 | GK  | 2014 | SPD:77 DRB:41 SHO:20 DEF:92 PHY:96 IQ:85 | Barcelona
4184. Vilson Vilela #6                    | CM  | 2014 | SPD:93 DRB:86 SHO:76 DEF:82 PHY:89 IQ:95 | Liverpool
4185. Acuña Marcos #6                     | CAM | 2006 | SPD:85 DRB:76 SHO:81 DEF:79 PHY:91 IQ:94 | Juventus
4186. Shay Given #6                       | LW  | 2014 | SPD:85 DRB:82 SHO:87 DEF:43 PHY:86 IQ:94 | Juventus
4187. Mason Mount #6                      | CDM | 2022 | SPD:92 DRB:79 SHO:87 DEF:61 PHY:90 IQ:98 | Juventus
4188. John Terry #6                       | CAM | 2010 | SPD:92 DRB:82 SHO:84 DEF:75 PHY:88 IQ:97 | Liverpool
4189. Diego Forlan #6                     | CDM | 2010 | SPD:84 DRB:79 SHO:83 DEF:81 PHY:97 IQ:95 | Paris SG
4190. Macoumba Kandji #6                  | CDM | 2006 | SPD:78 DRB:81 SHO:84 DEF:83 PHY:93 IQ:97 | Paris SG
4191. Wesley Sneijder #6                  | CM  | 2014 | SPD:90 DRB:76 SHO:77 DEF:62 PHY:84 IQ:83 | Real Madrid
4192. Jay DeMerit #6                      | CB  | 2010 | SPD:75 DRB:76 SHO:60 DEF:96 PHY:83 IQ:79 | AC Milan
4193. David Trezeguet #6                  | CB  | 2010 | SPD:89 DRB:78 SHO:58 DEF:98 PHY:98 IQ:91 | Arsenal
4194. Samuel Umtiti #6                    | RB  | 2010 | SPD:88 DRB:72 SHO:69 DEF:87 PHY:87 IQ:90 | Barcelona
4195. Wes Brown #6                        | CAM | 2006 | SPD:94 DRB:75 SHO:65 DEF:71 PHY:79 IQ:78 | Chelsea
4196. Blaise Matuidi #6                   | CM  | 2022 | SPD:84 DRB:82 SHO:67 DEF:82 PHY:76 IQ:91 | Napoli
4197. Isco Alarcon #6                     | LW  | 2014 | SPD:84 DRB:78 SHO:95 DEF:50 PHY:89 IQ:81 | AC Milan
4198. Manuel Neuer #6                     | CM  | 2014 | SPD:79 DRB:75 SHO:68 DEF:73 PHY:87 IQ:90 | Bayern Munich
4199. Jesus Navas #6                      | LB  | 2014 | SPD:88 DRB:73 SHO:67 DEF:86 PHY:98 IQ:82 | Real Madrid
4200. Franck Ribéry #6                    | LB  | 2010 | SPD:75 DRB:65 SHO:62 DEF:98 PHY:87 IQ:97 | AC Milan
4201. Raúl González #6                    | LW  | 2006 | SPD:87 DRB:86 SHO:90 DEF:59 PHY:93 IQ:81 | Chelsea
4202. Ferran Torres #6                    | CB  | 2006 | SPD:78 DRB:60 SHO:45 DEF:87 PHY:94 IQ:95 | Napoli
4203. William Carvalho #6                 | CDM | 2010 | SPD:88 DRB:84 SHO:79 DEF:79 PHY:94 IQ:80 | Juventus
4204. Enzo Fernandez #6                   | CAM | 2018 | SPD:79 DRB:91 SHO:87 DEF:71 PHY:86 IQ:79 | Chelsea
4205. Roger Milla #6                      | LW  | 2018 | SPD:93 DRB:94 SHO:96 DEF:25 PHY:91 IQ:98 | Manchester United
4206. Giancarlo Antognoni #6              | CDM | 2014 | SPD:80 DRB:82 SHO:74 DEF:76 PHY:83 IQ:89 | Manchester United
4207. Marko Milic #6                      | CM  | 2014 | SPD:94 DRB:87 SHO:79 DEF:69 PHY:95 IQ:83 | Paris SG
4208. Patrick Vieira #6                   | LB  | 2022 | SPD:87 DRB:66 SHO:47 DEF:98 PHY:76 IQ:91 | Real Madrid
4209. William Gallas #6                   | CDM | 2014 | SPD:92 DRB:80 SHO:80 DEF:75 PHY:79 IQ:93 | Napoli
4210. Dayot Upamecano #6                  | CB  | 2014 | SPD:80 DRB:70 SHO:51 DEF:86 PHY:77 IQ:80 | Barcelona
4211. Lucas Hernández #6                  | GK  | 2022 | SPD:71 DRB:38 SHO:20 DEF:91 PHY:80 IQ:81 | Arsenal
4212. Oscar #6                            | CB  | 2010 | SPD:82 DRB:80 SHO:62 DEF:86 PHY:77 IQ:93 | AC Milan
4213. Vincent Kompany #6                  | CAM | 2010 | SPD:86 DRB:87 SHO:87 DEF:61 PHY:80 IQ:96 | AC Milan
4214. Djibril Cissé #6                    | CB  | 2010 | SPD:77 DRB:65 SHO:63 DEF:91 PHY:96 IQ:90 | Inter Milan
4215. Diego Forlán #6                     | CDM | 2022 | SPD:94 DRB:88 SHO:81 DEF:66 PHY:78 IQ:80 | Napoli
4216. Sergio Batista #6                   | CDM | 2010 | SPD:93 DRB:81 SHO:79 DEF:78 PHY:98 IQ:95 | Napoli
4217. Andrea Pirlo #6                     | RB  | 2014 | SPD:79 DRB:79 SHO:70 DEF:92 PHY:91 IQ:96 | Juventus
4218. Pepe #6                             | GK  | 2014 | SPD:76 DRB:52 SHO:40 DEF:99 PHY:89 IQ:94 | Manchester United
4219. Dedryck Boyata #6                   | RB  | 2006 | SPD:85 DRB:70 SHO:58 DEF:90 PHY:93 IQ:80 | Real Madrid
4220. Giorgio Chiellini #6                | CAM | 2018 | SPD:79 DRB:82 SHO:65 DEF:73 PHY:82 IQ:86 | Manchester United
4221. Victor Valdés #6                    | CAM | 2018 | SPD:78 DRB:80 SHO:73 DEF:75 PHY:98 IQ:93 | Paris SG
4222. Ronaldo Nazário #6                  | RB  | 2010 | SPD:87 DRB:61 SHO:62 DEF:85 PHY:90 IQ:97 | Juventus
4223. Steve Mandanda #6                   | CAM | 2006 | SPD:81 DRB:71 SHO:70 DEF:68 PHY:90 IQ:86 | Inter Milan
4224. Karl-Heinz Rummenigge #6            | CM  | 2018 | SPD:88 DRB:70 SHO:67 DEF:68 PHY:88 IQ:78 | Real Madrid
4225. Kevin Keegan #6                     | GK  | 2010 | SPD:77 DRB:44 SHO:28 DEF:94 PHY:87 IQ:86 | Juventus
4226. Naohiro Takahara #6                 | CB  | 2022 | SPD:75 DRB:70 SHO:70 DEF:99 PHY:90 IQ:96 | Manchester United
4227. Domingos Duarte #6                  | CB  | 2018 | SPD:88 DRB:61 SHO:55 DEF:90 PHY:88 IQ:90 | Bayern Munich
4228. Pau Torres #6                       | LB  | 2010 | SPD:88 DRB:79 SHO:47 DEF:86 PHY:92 IQ:87 | Inter Milan
4229. Garrincha #6                        | CDM | 2022 | SPD:78 DRB:88 SHO:86 DEF:82 PHY:95 IQ:86 | Napoli
4230. David Luiz #6                       | LW  | 2006 | SPD:82 DRB:84 SHO:93 DEF:25 PHY:76 IQ:86 | Manchester United
4231. Francesco Totti #6                  | GK  | 2022 | SPD:73 DRB:47 SHO:40 DEF:97 PHY:75 IQ:84 | Chelsea
4232. Jerome Boateng #6                   | CM  | 2022 | SPD:89 DRB:90 SHO:79 DEF:61 PHY:95 IQ:95 | Inter Milan
4233. Ederson Moraes #6                   | CDM | 2018 | SPD:94 DRB:76 SHO:80 DEF:76 PHY:80 IQ:86 | Napoli
4234. Fabrice Barthez #6                  | GK  | 2010 | SPD:82 DRB:52 SHO:41 DEF:91 PHY:89 IQ:86 | AC Milan
4235. Sergio Ramos #6                     | CB  | 2014 | SPD:80 DRB:75 SHO:69 DEF:90 PHY:91 IQ:82 | Chelsea
4236. Hatem Ben Arfa #6                   | CM  | 2014 | SPD:91 DRB:79 SHO:65 DEF:68 PHY:89 IQ:80 | Bayern Munich
4237. Roberto Ayala #6                    | CDM | 2010 | SPD:90 DRB:75 SHO:71 DEF:64 PHY:75 IQ:97 | Bayern Munich
4238. Lionel Messi #6                     | LB  | 2022 | SPD:88 DRB:77 SHO:65 DEF:87 PHY:91 IQ:84 | Real Madrid
4239. Damiano Doni #6                     | LW  | 2018 | SPD:87 DRB:78 SHO:96 DEF:57 PHY:79 IQ:78 | Barcelona
4240. Emiliano Martínez #6                | CB  | 2014 | SPD:76 DRB:68 SHO:64 DEF:85 PHY:89 IQ:96 | Barcelona
4241. Robinho #6                          | CM  | 2022 | SPD:78 DRB:91 SHO:69 DEF:83 PHY:93 IQ:98 | Real Madrid
4242. Rio Ferdinand #6                    | RB  | 2014 | SPD:79 DRB:71 SHO:66 DEF:97 PHY:79 IQ:83 | AC Milan
4243. Ahmed Hassan #6                     | CDM | 2018 | SPD:93 DRB:73 SHO:78 DEF:64 PHY:90 IQ:83 | Manchester United
4244. Stan Collymore #6                   | CB  | 2018 | SPD:79 DRB:69 SHO:62 DEF:93 PHY:75 IQ:98 | Chelsea
4245. Gabriel Jesus #6                    | ST  | 2014 | SPD:93 DRB:89 SHO:86 DEF:49 PHY:79 IQ:94 | Arsenal
4246. Stephan Henchoz #6                  | LB  | 2006 | SPD:81 DRB:62 SHO:62 DEF:88 PHY:96 IQ:96 | Chelsea
4247. Phil Neville #6                     | ST  | 2010 | SPD:84 DRB:78 SHO:85 DEF:26 PHY:89 IQ:97 | AC Milan
4248. Xavi Hernandez #6                   | ST  | 2014 | SPD:85 DRB:80 SHO:89 DEF:33 PHY:82 IQ:82 | Arsenal
4249. Eusebio #6                          | LW  | 2006 | SPD:91 DRB:94 SHO:83 DEF:26 PHY:77 IQ:87 | Bayern Munich
4250. João Félix #6                       | CAM | 2018 | SPD:83 DRB:78 SHO:65 DEF:65 PHY:92 IQ:98 | Barcelona
4251. Joao Cancelo #6                     | GK  | 2022 | SPD:82 DRB:54 SHO:30 DEF:91 PHY:97 IQ:90 | Manchester United
4252. Rui Costa #6                        | LB  | 2010 | SPD:75 DRB:68 SHO:56 DEF:90 PHY:93 IQ:92 | Bayern Munich
4253. Barry Davies #6                     | CAM | 2022 | SPD:92 DRB:90 SHO:86 DEF:79 PHY:94 IQ:85 | Juventus
4254. Trent Alexander-Arnold #6           | ST  | 2010 | SPD:95 DRB:85 SHO:87 DEF:34 PHY:75 IQ:97 | Barcelona
4255. Roy Keane #6                        | CB  | 2022 | SPD:82 DRB:67 SHO:52 DEF:97 PHY:84 IQ:96 | Real Madrid
4256. Eric Cantona #6                     | RB  | 2006 | SPD:89 DRB:60 SHO:54 DEF:90 PHY:80 IQ:91 | Liverpool
4257. Fernando Torres #6                  | ST  | 2010 | SPD:84 DRB:78 SHO:97 DEF:35 PHY:75 IQ:79 | Napoli
4258. Aurelien Tchouameni #6              | CB  | 2014 | SPD:86 DRB:67 SHO:68 DEF:97 PHY:83 IQ:87 | Real Madrid
4259. Dennis Bergkamp #6                  | CAM | 2022 | SPD:82 DRB:87 SHO:77 DEF:79 PHY:98 IQ:82 | Manchester United
4260. Sergio Agüero #6                    | LB  | 2010 | SPD:84 DRB:60 SHO:48 DEF:95 PHY:76 IQ:90 | AC Milan
4261. Ruben Dias #6                       | LW  | 2006 | SPD:88 DRB:86 SHO:91 DEF:51 PHY:84 IQ:89 | AC Milan
4262. Giacinto Facchetti #6               | ST  | 2022 | SPD:91 DRB:84 SHO:97 DEF:53 PHY:91 IQ:88 | Napoli
4263. Philippe Coutinho #6                | ST  | 2010 | SPD:96 DRB:84 SHO:86 DEF:42 PHY:84 IQ:79 | Napoli
4264. Michu #6                            | LB  | 2014 | SPD:78 DRB:71 SHO:67 DEF:95 PHY:85 IQ:85 | Bayern Munich
4265. Ray Clemence #6                     | LB  | 2014 | SPD:80 DRB:77 SHO:70 DEF:91 PHY:83 IQ:84 | Real Madrid
4266. Ronaldinho Gaúcho #6                | CDM | 2010 | SPD:85 DRB:79 SHO:78 DEF:82 PHY:89 IQ:87 | Paris SG
4267. Nicolás Otamendi #6                 | CB  | 2006 | SPD:82 DRB:73 SHO:52 DEF:87 PHY:78 IQ:79 | Arsenal
4268. Felix Götze #6                      | LW  | 2018 | SPD:94 DRB:88 SHO:98 DEF:38 PHY:91 IQ:93 | Manchester United
4269. Leroy Sané #6                       | RB  | 2006 | SPD:83 DRB:77 SHO:61 DEF:94 PHY:77 IQ:95 | Inter Milan
4270. Robbie Keane #6                     | LW  | 2022 | SPD:86 DRB:88 SHO:82 DEF:55 PHY:96 IQ:87 | AC Milan
4271. Aleksandar Kolarov #6               | ST  | 2018 | SPD:87 DRB:90 SHO:93 DEF:60 PHY:87 IQ:85 | Real Madrid
4272. Thiago Silva #6                     | ST  | 2006 | SPD:84 DRB:87 SHO:96 DEF:59 PHY:86 IQ:86 | Napoli
4273. Xavi Hernández #6                   | RB  | 2014 | SPD:84 DRB:78 SHO:69 DEF:96 PHY:85 IQ:88 | AC Milan
4274. Bastian Schweinsteiger #6           | CM  | 2018 | SPD:82 DRB:81 SHO:65 DEF:81 PHY:98 IQ:88 | Paris SG
4275. Juan Riquelme #6                    | LW  | 2014 | SPD:88 DRB:89 SHO:83 DEF:41 PHY:85 IQ:83 | Inter Milan
4276. Youri Djorkaeff #6                  | CDM | 2014 | SPD:87 DRB:71 SHO:79 DEF:68 PHY:77 IQ:97 | Inter Milan
4277. Essam El-Hadary #6                  | LW  | 2006 | SPD:84 DRB:95 SHO:96 DEF:31 PHY:96 IQ:98 | Barcelona
4278. Alan Hansen #6                      | CDM | 2010 | SPD:87 DRB:85 SHO:83 DEF:76 PHY:91 IQ:80 | Manchester United
4279. Holger Badstuber #6                 | LW  | 2018 | SPD:83 DRB:84 SHO:92 DEF:45 PHY:82 IQ:80 | Manchester United
4280. Cafu #6                             | CDM | 2022 | SPD:78 DRB:80 SHO:77 DEF:76 PHY:86 IQ:97 | Napoli
4281. Carlos Tévez #6                     | CAM | 2010 | SPD:80 DRB:70 SHO:76 DEF:85 PHY:86 IQ:78 | Manchester United
4282. Nélson Semedo #6                    | LB  | 2014 | SPD:82 DRB:71 SHO:50 DEF:85 PHY:78 IQ:95 | Inter Milan
4283. Jérôme Boateng #6                   | LW  | 2006 | SPD:86 DRB:85 SHO:90 DEF:31 PHY:93 IQ:97 | Juventus
4284. Luka Modrić #6                      | CB  | 2014 | SPD:84 DRB:68 SHO:63 DEF:90 PHY:92 IQ:90 | Inter Milan
4285. Leon Goretzka #6                    | CAM | 2014 | SPD:85 DRB:78 SHO:73 DEF:82 PHY:89 IQ:94 | Manchester United
4286. Robert Pires #6                     | CM  | 2022 | SPD:82 DRB:81 SHO:87 DEF:76 PHY:85 IQ:91 | Napoli
4287. Philipp Lahm #6                     | RB  | 2018 | SPD:77 DRB:72 SHO:58 DEF:92 PHY:90 IQ:83 | Bayern Munich
4288. David de Gea #6                     | CAM | 2018 | SPD:80 DRB:90 SHO:79 DEF:71 PHY:94 IQ:97 | Real Madrid
4289. Youri Tielemans #6                  | CM  | 2014 | SPD:78 DRB:83 SHO:79 DEF:84 PHY:79 IQ:88 | AC Milan
4290. Sepp Maier #6                       | CB  | 2010 | SPD:75 DRB:63 SHO:57 DEF:89 PHY:82 IQ:84 | Inter Milan
4291. Julian Alvarez #6                   | ST  | 2018 | SPD:82 DRB:77 SHO:93 DEF:38 PHY:92 IQ:79 | Barcelona
4292. Gonzalo Montiel #6                  | LW  | 2014 | SPD:93 DRB:78 SHO:86 DEF:29 PHY:85 IQ:87 | Liverpool
4293. Sandro Mazzola #6                   | CAM | 2022 | SPD:78 DRB:74 SHO:71 DEF:61 PHY:83 IQ:95 | Napoli
4294. Özil Mesut #6                       | CM  | 2014 | SPD:80 DRB:88 SHO:66 DEF:66 PHY:94 IQ:80 | Inter Milan
4295. Álvaro Morata #6                    | CDM | 2018 | SPD:93 DRB:82 SHO:70 DEF:65 PHY:82 IQ:84 | Manchester United
4296. David Silva #6                      | CDM | 2010 | SPD:91 DRB:71 SHO:85 DEF:82 PHY:92 IQ:94 | Napoli
4297. Gökhan Inler #6                     | CAM | 2006 | SPD:92 DRB:90 SHO:69 DEF:83 PHY:98 IQ:80 | Napoli
4298. Alphonso Davies #6                  | CAM | 2022 | SPD:81 DRB:80 SHO:83 DEF:77 PHY:82 IQ:93 | Napoli
4299. Luis Fernando Muriel #6             | LB  | 2006 | SPD:86 DRB:77 SHO:46 DEF:94 PHY:96 IQ:91 | Bayern Munich
4300. Aurélien Tchouaméni #6              | CM  | 2006 | SPD:89 DRB:80 SHO:78 DEF:68 PHY:84 IQ:83 | Arsenal
4301. Petr Čech #6                        | CAM | 2018 | SPD:83 DRB:87 SHO:78 DEF:70 PHY:94 IQ:80 | Napoli
4302. Shinji Ono #6                       | ST  | 2022 | SPD:90 DRB:86 SHO:95 DEF:58 PHY:90 IQ:78 | Real Madrid
4303. Alexis Sanchez #6                   | LW  | 2010 | SPD:91 DRB:82 SHO:87 DEF:54 PHY:97 IQ:90 | Barcelona
4304. Yuri Zhirkov #6                     | ST  | 2010 | SPD:82 DRB:90 SHO:85 DEF:42 PHY:98 IQ:84 | Barcelona
4305. Hennes Weisweiler #6                | CAM | 2022 | SPD:83 DRB:79 SHO:81 DEF:67 PHY:75 IQ:88 | Manchester United
4306. Gilberto Silva #6                   | LB  | 2006 | SPD:79 DRB:61 SHO:49 DEF:90 PHY:89 IQ:89 | Barcelona
4307. Berti Vogts #6                      | CAM | 2006 | SPD:94 DRB:84 SHO:82 DEF:73 PHY:82 IQ:83 | Chelsea
4308. Petr Cech #6                        | CM  | 2022 | SPD:82 DRB:71 SHO:81 DEF:61 PHY:86 IQ:94 | Juventus
4309. Douglas Costa #6                    | LW  | 2018 | SPD:91 DRB:93 SHO:87 DEF:29 PHY:82 IQ:93 | Napoli
4310. Marcelo #6                          | LW  | 2022 | SPD:95 DRB:75 SHO:82 DEF:49 PHY:96 IQ:87 | Chelsea
4311. Rojas Marcos #6                     | LB  | 2010 | SPD:86 DRB:60 SHO:66 DEF:93 PHY:79 IQ:92 | Chelsea
4312. Lucio #6                            | LB  | 2006 | SPD:87 DRB:64 SHO:45 DEF:90 PHY:91 IQ:81 | Chelsea
4313. Silvain Wiltord #6                  | LB  | 2014 | SPD:81 DRB:62 SHO:50 DEF:94 PHY:96 IQ:83 | Barcelona
4314. Frank Rijkaard #6                   | GK  | 2010 | SPD:76 DRB:39 SHO:20 DEF:99 PHY:88 IQ:85 | Paris SG
4315. Casemiro #6                         | CDM | 2018 | SPD:94 DRB:71 SHO:86 DEF:67 PHY:95 IQ:81 | Liverpool
4316. Edinson Cavani #6                   | CAM | 2006 | SPD:88 DRB:88 SHO:75 DEF:80 PHY:83 IQ:80 | Manchester United
4317. Kostas Katsouranis #6               | LW  | 2022 | SPD:94 DRB:78 SHO:82 DEF:27 PHY:84 IQ:86 | Paris SG
4318. Deco #6                             | CAM | 2014 | SPD:89 DRB:82 SHO:86 DEF:82 PHY:77 IQ:94 | Paris SG
4319. Ilkay Gundogan #6                   | CDM | 2022 | SPD:81 DRB:76 SHO:74 DEF:73 PHY:92 IQ:81 | Real Madrid
4320. Roberto Rivelino #6                 | CAM | 2014 | SPD:88 DRB:85 SHO:65 DEF:72 PHY:84 IQ:78 | Inter Milan
4321. Paolo Maldini #6                    | CM  | 2010 | SPD:85 DRB:75 SHO:79 DEF:65 PHY:87 IQ:94 | Manchester United
4322. Ézequiel Garay #6                   | LB  | 2006 | SPD:84 DRB:76 SHO:69 DEF:92 PHY:97 IQ:93 | Arsenal
4323. Virgil van Dijk #6                  | GK  | 2014 | SPD:77 DRB:41 SHO:31 DEF:93 PHY:93 IQ:81 | Bayern Munich
4324. Bernardo Silva #6                   | CM  | 2006 | SPD:85 DRB:90 SHO:73 DEF:63 PHY:88 IQ:88 | Arsenal
4325. Liliam Thuram #6                    | LB  | 2010 | SPD:75 DRB:68 SHO:62 DEF:96 PHY:94 IQ:88 | Inter Milan
4326. James Milner #6                     | CAM | 2018 | SPD:84 DRB:87 SHO:67 DEF:69 PHY:79 IQ:81 | Barcelona
4327. Roman Shirokov #6                   | CDM | 2022 | SPD:87 DRB:85 SHO:76 DEF:85 PHY:94 IQ:84 | Barcelona
4328. Oleg Blokhin #6                     | CDM | 2018 | SPD:92 DRB:73 SHO:66 DEF:75 PHY:89 IQ:86 | Napoli
4329. Arne Friedrich #6                   | LW  | 2006 | SPD:87 DRB:94 SHO:82 DEF:48 PHY:88 IQ:87 | Arsenal
4330. Iker Casillas #6                    | CM  | 2010 | SPD:86 DRB:92 SHO:75 DEF:76 PHY:85 IQ:95 | Barcelona
4331. Joan Capdevila #6                   | CM  | 2006 | SPD:86 DRB:90 SHO:71 DEF:72 PHY:94 IQ:83 | Real Madrid
4332. Steven Gerrard #6                   | CAM | 2006 | SPD:93 DRB:82 SHO:80 DEF:77 PHY:89 IQ:83 | Juventus
4333. Jiří Krejčí #6                      | ST  | 2014 | SPD:95 DRB:92 SHO:95 DEF:56 PHY:97 IQ:83 | Manchester United
4334. Carlos Bocanegra #6                 | CB  | 2014 | SPD:84 DRB:80 SHO:63 DEF:99 PHY:85 IQ:81 | Chelsea
4335. John Wark #6                        | CM  | 2014 | SPD:94 DRB:81 SHO:77 DEF:72 PHY:82 IQ:92 | Chelsea
4336. Mesut Özil #6                       | CDM | 2014 | SPD:81 DRB:70 SHO:88 DEF:78 PHY:87 IQ:82 | Paris SG
4337. Riyad Mahrez #6                     | LW  | 2006 | SPD:85 DRB:80 SHO:87 DEF:30 PHY:83 IQ:80 | Inter Milan
4338. Jan Vertonghen #6                   | CB  | 2018 | SPD:80 DRB:64 SHO:66 DEF:90 PHY:75 IQ:95 | Chelsea
4339. Andrés Iniesta #6                   | ST  | 2014 | SPD:90 DRB:82 SHO:91 DEF:55 PHY:84 IQ:86 | Paris SG
4340. Anatoliy Kanischev #6               | CM  | 2018 | SPD:83 DRB:80 SHO:74 DEF:75 PHY:77 IQ:82 | Inter Milan
4341. Reece James #6                      | CAM | 2010 | SPD:91 DRB:80 SHO:84 DEF:78 PHY:86 IQ:94 | Napoli
4342. Makoto Hasebe #6                    | GK  | 2014 | SPD:75 DRB:52 SHO:45 DEF:90 PHY:87 IQ:90 | Juventus
4343. Zinedine Zidane #6                  | CM  | 2018 | SPD:85 DRB:75 SHO:69 DEF:82 PHY:91 IQ:88 | Napoli
4344. Rafael Borre #6                     | CM  | 2006 | SPD:79 DRB:84 SHO:82 DEF:71 PHY:94 IQ:88 | AC Milan
4345. Ivan Varadin #6                     | CAM | 2022 | SPD:93 DRB:70 SHO:68 DEF:82 PHY:90 IQ:80 | Paris SG
4346. Dimitri Alenichev #6                | CDM | 2022 | SPD:82 DRB:72 SHO:75 DEF:68 PHY:98 IQ:91 | Liverpool
4347. Roberto Carlos #6                   | CM  | 2014 | SPD:87 DRB:74 SHO:75 DEF:63 PHY:89 IQ:92 | Manchester United
4348. Joel Alarcon #6                     | CAM | 2006 | SPD:82 DRB:92 SHO:66 DEF:60 PHY:79 IQ:85 | Liverpool
4349. Gianluca Zambrotta #6               | LW  | 2010 | SPD:89 DRB:83 SHO:84 DEF:50 PHY:89 IQ:89 | AC Milan
4350. Ederson #6                          | ST  | 2014 | SPD:83 DRB:89 SHO:89 DEF:58 PHY:92 IQ:81 | Bayern Munich
4351. Moisés Caicedo #6                   | CDM | 2010 | SPD:79 DRB:82 SHO:67 DEF:78 PHY:84 IQ:90 | Inter Milan
4352. Claude Makélélé #6                  | GK  | 2014 | SPD:80 DRB:39 SHO:22 DEF:95 PHY:86 IQ:88 | Liverpool
4353. Ferenc Puskás #6                    | LB  | 2010 | SPD:84 DRB:64 SHO:46 DEF:97 PHY:82 IQ:86 | Napoli
4354. Joao Mario #6                       | RB  | 2018 | SPD:83 DRB:79 SHO:68 DEF:92 PHY:93 IQ:78 | Juventus
4355. Andrés Iniesta Luján #6             | CAM | 2010 | SPD:80 DRB:74 SHO:74 DEF:68 PHY:88 IQ:81 | Chelsea
4356. Lev Yashin #6                       | CB  | 2010 | SPD:77 DRB:66 SHO:66 DEF:88 PHY:96 IQ:88 | Manchester United
4357. Sergio Peña #6                      | ST  | 2010 | SPD:95 DRB:88 SHO:87 DEF:32 PHY:91 IQ:80 | Arsenal
